hid,doc_id,ops_inspection_regularity,ops_unlicensed_control_notes,ops_committee_activity_notes,remarks,inspection_freq,unlicensed_control_type,committee_supervision,extracted_year,extracted_patient_count
HID0012,NWPO-1878,weekly returns regular,military police duty for men recently cured; civil police brought suspected women,,History tickets used; many cases contracted elsewhere,weekly,police_action,,,
HID0013,NLS-CP-1877,,,,"Monthly cost Rs.114; population jurisdiction ~84,441",,,,,
HID0014,NLS-CP-1878,,,,"Monthly cost Rs.164; population jurisdiction ~47,500",,,,,
HID0015,NLS-CP-1879,,,,"Population jurisdiction ~58,439; bed capacity 20",,,,,
HID0016,NLS-CP-1880,,Report noted high admissions in first half-year despite soldier passes restriction,,Part of CP report covering 1876,,other,,1876,
HID0017,NWPO-1878,,,,Station listed in 1879 NWPO report,,,,1879,
HID0018,NWPO-1878,,,,Station listed in 1879 NWPO report,,,,1879,
HID0019,NWPO-1878,,,,Station listed in 1879 NWPO report,,,,1879,
HID0020,NWPO-1878,,,,Station listed in 1879 NWPO report,,,,1879,
HID0021,NWPO-1878,,,,Station listed in 1879 NWPO report,,,,1879,
HID0022,NWPO-1878,,,,Station listed in 1879 NWPO report,,,,1879,
HID0023,PB1887,Weekly (Mondays),Soldiers pointed out unregistered women; many prostitutes from villages remained unregistered.,"Sub-Committee (Commanding Officer, Senior Medical Officer, Deputy Commissioner, Police Superintendent) met monthly.",Hospital opened in March 1887; fines Rs. 40 collected; difficulties registering all prostitutes due to city size.,weekly,other,subcommittee_regular,1887,
HID0024,PB1887,"Weekly; prostitutes examined, menstruating women had tickets withheld.",Police ordered to arrest illicit prostitutes within 4 miles; none were arrested that year.,"Sub-Committee included commanding officers, senior medical officer, deputy commissioner, civil surgeon, police.",Hospital surrounded by high wall; suggestions to replace older prostitutes with younger ones.,weekly,police_action,subcommittee_irregular,,
HID0025,PB1887,Weekly examinations; some women admitted for 'observation'.,Most troop infections traced to unlicensed village women outside cantonments.,No Sub-Committee existed.,Very few prostitutes (avg 11); garrison strength exceeded prostitute numbers; winter shortages noted.,weekly,other,subcommittee_irregular,,
HID0026,PB1887,Weekly; speculum used for exams.,Police + rulers of neighbouring states asked to prevent illicit prostitution outside cantonments.,No Sub-Committee existed.,"Hospital reopened March 1887; 23 women registered, 21 left during same year; only 2 remained at year end.",weekly,police_action,subcommittee_irregular,1887,
HID0027,PB1887,Weekly inspections.,Illicit women controlled within 4 miles.,Returns sent regularly.,"Hospital est. 1864; monthly cost Rs. 118; population under rules 8,023.",weekly,other,,1864,
HID0028,PB1887,Weekly.,Unlicensed prostitution controlled by police.,Committee oversight noted.,"Hospital est. 1868; monthly cost Rs. 134; population under rules 66,959.",weekly,police_action,committee,1868,
HID0029,PB1887,Weekly.,Some illicit prostitution noted.,Returns received.,"Hospital est. 1887; monthly cost Rs. 49; population under rules 16,553.",weekly,other,,1887,
HID0030,PB1887,Weekly.,Unlicensed women noted in narrative.,Committee oversight not mentioned.,Hospital re-opened March 1887; monthly cost Rs. 35.,weekly,other,committee,1887,
HID0031,PB1887,Weekly.,Noted need to increase women and supervise near bazar.,Not specified.,Hospital est. 1871; monthly cost Rs. 35.,weekly,other,,1871,
HID0032,PB1887,Weekly inspections.,"322 women added, 130 removed or absconded.",Committee oversight active.,"Hospital est. 1887; monthly cost Rs. 76; population under rules 27,000.",weekly,other,committee,1887,
HID0033,PB1887,Weekly returns; inspections regular.,Unlicensed prostitutes prevented from approaching barracks.,"Sub-Committee met monthly, included magistrate, police, medical officer.","In 1887, 14 secondary syphilis admissions; area covered 5,251 acres.",weekly,other,magistrate_oversight,1887,
HID0034,PB1887,Weekly; 225 women admitted.,One dhai employed for examinations.,Returns received.,"Hospital reopened Feb 1887; monthly cost Rs. 80; population under rules 15,432.",weekly,other,,1887,
HID0035,PB1887,Weekly inspections.,322 women added; 130 removed or absconded.,Committee oversight active.,"Hospital est. 1887; monthly cost Rs. 76; population under rules 27,000.",weekly,other,committee,1887,
HID0036,PB1887,Weekly inspections.,Area under rules: 3 miles each side of Fort.,Not specified.,"Hospital est. 1870; monthly cost Rs. 33; population under rules 4,090.",weekly,other,,1870,
HID0037,PB1887,Weekly; fines collected.,Registration fees and fines collected regularly.,Cantonment committee oversight.,Monthly expenditure ~Rs. 83‚Äì95; funding from Govt and Cantonment Funds.,weekly,other,committee,,
HID0038,PB1887,Weekly; reopened after closure (March 1887).,"72 troop admissions (41 gonorrhoea, 31 syphilis).",Cantonment oversight.,Closed Jan 1885‚ÄìMar 1887; reopened with Assistant Apothecaries Brandon and Clayton.,weekly,other,,1885,
HID0039,PB1887,Weekly inspections (per annual returns),,Lock Hospital report approved by committee; Statement III shows monthly finances,Fines levied Total GoPvaeryn omfent Pay of All other From Cantonment; fines were levied during the year,weekly,,committee,,
HID0040,PB1887,Weekly periodical examinations; Annual Statement II present,,"Signed by Secretary, Cantonment Committee (15 Jan 1889)",,weekly,,committee,,
HID0041,PB1887,Weekly inspections; returns in Statement II,,Signed by Secretary; returns submitted,"total admissions being four less than in the previous year, and only",weekly,,,,
HID0042,PB1887,Weekly; detailed registered and disease records,,Cantonment Secretary countersigned; temporary MO late in year,,weekly,,,,
HID0043,PB1887,Regular periodical examinations; extensive monthly figures,,Secretary and MO sign-off (Feb 1889),Fines levied Pay of From,monthly,,,,
HID0044,PB1887,Weekly examinations recorded (Statement II),,Secretary + MO; returns submitted,Fines levied Total Pay of Pay of Estab lishment,weekly,,,,
HID0045,PB1887,Weekly examinations; large case volumes in Statement II,,Signed by Surgeon W. Vost; Secretary countersigned,,weekly,,,,
HID0046,PB1887,Weekly inspections; finances shown in Statement III,,No Cantonment Committee at present (noted in correspondence),"Fines levied Total Pay of Pay of All other Total By From; fines levied,  if",weekly,,committee,,
HID0047,PB1887,Weekly; lack of examination room noted,,Multiple forwarding notes; report accepted,"Fines levied, Rs",weekly,,,,
HID0048,PB1887,Periodical examinations; Statement II detailed,,Cantonment Magistrate + MO sign-off (20 Jan 1889),Fines levied Total Pay of Pay of  All other  Total From REMARKS,,,magistrate_oversight,,
HID0049,PB1887,Weekly exams; women attend by option; registrations discontinued,,"Sub-Committee exists (OC Station, Fort Adjutant, Senior MO)",fines levied,weekly,,subcommittee_irregular,,
HID0050,PB1887,Weekly inspections; Statements II & III present,,Secretary & Apothecary sign (1 Jan 1889),,weekly,,,,
HID0051,PB1887,Weekly inspections,Unregistered prostitutes noted; police tasked,Sub-Committee meets monthly,Accommodation ample; area ~16 sq miles,weekly,police_action,subcommittee_regular,,
HID0052,PB1887,Weekly examinations,Weak enforcement,"Committee includes COs, Deputy Commissioner, Senior MO",Hospital in Sadr Bazaar,weekly,other,committee,,
HID0053,PB1887,Weekly inspections,‚Äî,Committee irregular,Admissions fluctuated,weekly,other,committee,,
HID0054,PB1887,Weekly,‚Äî,No Sub-Committee,Accommodation poor,weekly,other,subcommittee_irregular,,
HID0055,PB1887,Weekly,‚Äî,No Sub-Committee,Estimated pop. ~3000,weekly,other,subcommittee_irregular,,
HID0056,PB1887,Weekly,‚Äî,Reports approved,Reduced establishment cost in Dec,weekly,other,,,
HID0057,PB1887,Weekly,Police tasked,Reports approved,Venereal prevalence steady,weekly,police_action,,,
HID0058,PB1887,Weekly,‚Äî,Sub-Committee irregular,Report delayed,weekly,other,subcommittee_regular,,
HID0059,PB1887,Weekly,‚Äî,‚Äî,Fines levied Rs.232,weekly,other,,,
HID0060,PB1887,Weekly,‚Äî,‚Äî,Accommodation insufficient,weekly,other,,,
HID0061,PB1887,Weekly,‚Äî,‚Äî,Admissions decreased,weekly,other,,,
HID0062,PB1887,Weekly,‚Äî,‚Äî,Reduction in admissions,weekly,other,,,
HID0063,PB1887,Weekly,Pass system & sentries,Sub-Committee exists,Registrations discontinued,weekly,other,subcommittee_irregular,,
HID0064,PB1887,Weekly,‚Äî,‚Äî,Population ~500,weekly,other,,,
HID0065,PB1887,Weekly,‚Äî,‚Äî,Monthly establishment Rs.80,weekly,other,,,
HID0066,PB1887,Weekly,‚Äî,‚Äî,Admissions fell sharply,weekly,other,,,
HID0067,PB1887,,,Committee; Committee at present,,,,committee,,
HID0068,PB1887,,,Committee,Total monthly cost of establish-,,,committee,,
HID0069,PB1887,,,"Committee; Committee, Murree,","Punjab Government Press, Lahore‚Äî29-11-88‚Äî40",,,committee,,
HID0070,PB1887,,,,,,,,,
HID0071,PB1887,,illicit prostitution,Committee,Total monthly cost of Establish,,other,committee,,
HID0072,PB1887,,,Committee :‚Äî; Sub-Committee consists,"voluntary system; voluntary system has; voluntary system of attendance of; voluntary system, and",,,subcommittee_irregular,,
HID0073,PB1887,,,,,,,,,
HID0074,PB1887,,,"Committee; Committee at meeting on the; Committee to-day, and, therefore, it is requested that the same be; Committee, Jullundur,",,,,committee,,
HID0075,PB1887,"fortnightly inspections, or when inspected on being pointed out by any man",unregistered,"Committee have been regularly attended; Sub-Committee has existed throughout the year,",,fortnightly,other,subcommittee_regular,,
HID0076,PB1887,,,"Committee, Meean Meer",Total monthly cost of Establish-,,,committee,,
HID0077,PB1887,,unlicensed,"Committee, Sialkot; Sub-Committee comprises the Deputy Commis-",Total monthly cost of Establish-; increase of disease has been general in all the different branches of the,,other,subcommittee_irregular,,
HID0078,PB1887,,,Committee,Total monthly cost of Establish-,,,committee,,
HID0079,PB1887,,,Committee,Total monthly	 cost of Establish-; Voluntary System,,,committee,,
HID0080,PB1887,,,Committee,Total monthly	 cost of Establish-,,,committee,,
HID0081,PB1887,,,"Committee, Nowshera",,,,committee,,
HID0082,MD1876,inspections enforced; famine influx made control difficult,clandestine prostitution existed widely; famine refugees,special detective agency (Chief Constable + 5 Policemen),174 registered (+82); many absconded; venereal admissions 253.6/1000 troops,,other,,,
HID0083,MD1876,irregular tri-weekly attendance,large famine-driven unregistered women; 1 head constable + 3 policemen,,"166 registered, fell to 119; venereal admissions 465.8/1000; 8 deaths",weekly,police_action,,,
HID0084,MD1876,"attendance noted, not irregular","only station police, no special agency",,49 registered; 36 at year end; avg daily sick 4.38; aggravated syphilis; troops ratio 87.8/1000,irregular,police_action,,,
HID0085,MD1876,attendance more regular than 1876,cantonment + regimental police used; clandestine prostitution persisted,,"Divided classes: 44 first-class, 30 second-class; infantry 252.2/1000, artillery 473.07/1000",,police_action,,,
HID0086,MD1876,not detailed; meagre report,"famine refugees diseased, Act poorly enforced",,"910 admissions; 397 syphilis, 424 gonorrhoea; avg sick 103; 177 venereal admissions in troops",,other,,,
HID0087,MD1876,"regular inspections (8,171 exams)",many escapes aided by friends scaling walls,,"Beds 65 (overcrowded up to 169); 705 registered, fell to 407; 950 admissions (600 syphilis, 310 gonorrhoea)",,other,,,
HID0088,MD1876,irregular attendance,"extensive clandestine prostitution (grass-cutters, camp followers’ wives)",,32 local registered women; daily sick 6.76; Royal Artillery venereal admissions 41→98,irregular,other,,,
HID0089,MD1876,weekly inspections irregular,only women with Europeans registered,,"58 diseased women (47 gonorrhoea, 2 syphilis); daily sick 1.34; troops (47 men) – 7 syphilis",weekly,other,,,
HID0090,MD1876,weekly inspections; absentees punished,large clandestine activity; men preferred unregistered women,,"Register grew 121→230; 503 admissions (282 syphilis, 126 gonorrhoea); troops admissions 150→177/1000",weekly,other,,,
HID0091,MD1876,attendance satisfactory,lal-bazaar segregation; clandestine prostitution persisted,,"23 registered by year end; 34 added, 30 removed; 50 admissions (5 syphilis, 32 gonorrhoea); troops 64 venereal cases",,other,,,
HID0092,MD1876,weekly inspections; 27 non-attendance cases,many Madras women consorting with soldiers,,22 registered; 63 admissions; 45 venereal admissions in troops (avg 415 strength); diseases mild,weekly,other,,,
HID0093,MD1876,attendance more regular than 1876,famine women diseased; relief-camp prostitutes,,"43 new registrations; avg registered 66.8, daily hospital 14.8; 4 deaths; troops ratio 322.8/1000",,other,,,
HID0094,MD1876,fairly regular inspections,police traced accused women; brought under treatment,,"16 new registrations; 94 admissions; syphilis admissions fell (54→39); troops: 17 syphilis, 33 gonorrhoea",,police_action,,,
HID0095,MD1876,,,,"Admission rate among European troops (venereal): 295.03 per 1,000 (1878).",,,,1878,
HID0096,MD1876,,,,"Admission rate among European troops (venereal): 410.68 per 1,000 (1878).",,,,1878,
HID0097,MD1876,,,,"Admission rate among European troops (venereal): 167.18 per 1,000 (1878).",,,,1878,
HID0098,MD1876,,,,"Admission rate among European troops (venereal): 237.86 per 1,000 (1878).",,,,1878,
HID0099,MD1876,,,,"Admission rate among European troops (venereal): 354.63 per 1,000 (1878).",,,,1878,
HID0100,MD1876,,,,"Admission rate among European troops (venereal): 265.47 per 1,000 (1878).",,,,1878,
HID0101,MD1876,,,,"Admission rate among European troops (venereal): 330.85 per 1,000 (1878).",,,,1878,
HID0102,MD1876,,,,"Admission rate among European troops (venereal): 140.04 per 1,000 (1878).",,,,1878,
HID0103,MD1876,,,,"Total treated across Military Lock Hospitals in 1878: 2,807; Average daily sick: 225.24; Average stay: 29.28 days (context for the year).",,,,1878,
HID0104,MD1876,,,,"Year context: Military Lock Hospitals total treated 2,807; avg daily sick 225.24 (civil hospital specifics for 1878 not detailed in snippet).",,,,1878,
HID0105,MD1876,,,,Year context only; station-specific 1878 details not present in current extract.,,,,1878,
HID0106,MD1876,,,,Year context only; station-specific 1878 details not present in current extract.,,,,1878,
HID0107,MD1876,,,,,,,,,
HID0108,MD1876,,,,,,,,,
HID0109,MD1876,,,,,,,,,
HID0110,MD1876,,,,,,,,,
HID0111,MD1876,,,,,,,,,
HID0112,MD1876,,,,,,,,,
HID0113,MD1876,,,,,,,,,
HID0114,MD1876,,,,,,,,,
HID0115,MD1876,,,,,,,,,
HID0116,MD1876,,,,,,,,,
HID0117,MD1876,,,,,,,,,
HID0118,MD1876,,,,,,,,,
HID0119,MD1876,,,,,,,,,
HID0120,MD1876,,,,Cost per patient (1880): Rs 7-11-7.,,,,1880,
HID0121,MD1876,,,,Cost per patient (1880): Rs 14-0-6.,,,,1880,
HID0122,MD1876,,,,Cost per patient (1880): Rs 19-14-6.,,,,1880,
HID0123,MD1876,,,,Cost per patient (1880): Rs 28-0-11.,,,,1880,
HID0124,MD1876,,,,Cost per patient (1880): Rs 19-15-11; conservancy: scavenger's cart with bullock & driver (Rs 9 from Jan‚ÄìMar; Rs 7-14-0 from Apr‚ÄìDec); short-term hires: 2 months and 10 months indicated.,,,,1880,
HID0125,MD1876,,,,Cost per patient (1880): Rs 4-13-11; conservancy: one extra toty (Rs 2-9-0) and one filth cart (Rs 2 per mensem).,,,,1880,
HID0126,MD1876,,,,Cost per patient (1880): Rs 10-10-2.,,,,1880,
HID0127,MD1876,,,,Cost per patient (1880): Rs 27-2-10; conservancy staffing items listed.,,,,1880,
HID0128,MD1876,,,,,,,,,
HID0129,MD1876,,,,,,,,,
HID0130,MD1876,,,,,,,,,
HID0131,MD1876,,,,,,,,,
HID0132,MD1876,,,,,,,,,
HID0133,MD1876,,,,,,,,,
HID0134,MD1876,,,,,,,,,
HID0135,MD1876,,,,,,,,,
HID0136,MD1876,,,,,,,,,
HID0137,MD1876,,,,,,,,,
HID0138,MD1876,,,,,,,,,
HID0139,MD1876,,,,,,,,,
HID0140,MD1876,,,,,,,,,
HID0141,MD1876,,,,,,,,,
HID0142,MD1876,,,,"910 admissions (57 Europeans/East British Indians, 853 natives); increase due to famine-stricken women; 397 primary syphilis, 424 gonorrhoea; daily average sick 103; weak enforcement of Act„Äê97‚Ä†Untitled‚Ä†L480-L499„Äë.",,,,,
HID0143,MD1876,,,,"Hospital capacity 65 beds, patients ranged 51‚Äì169; 239 new registrations (14 European, 225 Native); total 705, but 298 absconded/struck off, leaving 407 at year end; monthly fee 1 rupee„Äê97‚Ä†Untitled‚Ä†L510-L519„Äë.",,,,,
HID0144,MD1876,,,,,,,,,
HID0145,MD1876,,,,,,,,,
HID0146,MD1876,,,,Average women registered: 86.65; attendance ratio per mille 552.33; venereal admissions decreased in 1883 compared to 1882„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L22-L32„Äë„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L86-L89„Äë.,,,,1883,
HID0147,MD1876,,,,Average women registered: 72.84; attendance ratio per mille 337.45; inspections less regular than 1883; admissions rose the following year„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L24-L32„Äë„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L90-L91„Äë.,,,,1883,
HID0148,MD1876,,,,Average women registered: 34.21; attendance ratio per mille 623.50; syphilis cases noted; clandestine activity implied„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L26-L32„Äë„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L92-L93„Äë.,,,,,
HID0149,MD1876,,,,Average women registered: 53.36; attendance ratio per mille 765.74; inspections less regular in 1882 but improved in 1883„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L28-L32„Äë„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L94-L95„Äë.,,,,1882,
HID0150,MD1876,,,,Average women registered: 48.93; attendance ratio per mille 898.42; inspections less regular than 1883„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L30-L32„Äë„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L96-L97„Äë.,,,,1883,
HID0151,MD1876,,,,Average women registered: 323.65; attendance ratio per mille 883.36; one of the largest registers; inspections slightly less regular in 1882„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L32-L36„Äë„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L98-L99„Äë.,,,,1882,
HID0152,MD1876,,,,Average women registered: 37.12; attendance ratio per mille 522.62; inspections less regular than 1883„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L38-L42„Äë„Äê108:3‚Ä†Madras 1-merged copy.pdf‚Ä†L99-L99„Äë.,,,,1883,
HID0153,MD1876,,,,,,,,,
HID0154,MD1876,,,,,,,,,
HID0155,MD1876,,,,,,,,,
HID0156,MD1876,,,,,,,,,
HID0157,MD1876,,,,,,,,,
HID0158,MD1876,,,,"Average registered women: 86.65 (1882), 87.45 (1883); attendance ratio per mille 552.33 (1882), 564.23 (1883). Inspections satisfactory„Äê119‚Ä†Untitled„Äë.",,,,1882,
HID0159,MD1876,,,,"Average registered women: 72.84 (1882), 83.56 (1883); attendance ratio 337.45 (1882), 416.80 (1883). Inspections improved in 1883„Äê119‚Ä†Untitled„Äë.",,,,1882,
HID0160,MD1876,,,,"Average registered women: 34.21 (1882), 33.19 (1883); attendance ratio 623.50 (1882), 608.29 (1883). Slight decline in inspections„Äê119‚Ä†Untitled„Äë.",,,,1882,
HID0161,MD1876,,,,"Average registered women: 53.36 (1882), 53.44 (1883); attendance ratio 765.74 (1882), 769.33 (1883). Regular inspections„Äê119‚Ä†Untitled„Äë.",,,,1882,
HID0162,MD1876,,,,"Average registered women: 48.93 (1882), 49.35 (1883); attendance ratio 898.42 (1882), 905.25 (1883). Inspections satisfactory„Äê119‚Ä†Untitled„Äë.",,,,1882,
HID0163,MD1876,,,,"Average registered women: 323.65 (1882), 324.60 (1883); attendance ratio 883.36 (1882), 885.50 (1883). Large hospital, inspections steady„Äê119‚Ä†Untitled„Äë.",,,,1882,
HID0164,MD1876,,,,"Average registered women: 37.12 (1882), 36.78 (1883); attendance ratio 522.62 (1882), 520.45 (1883). Inspections regular„Äê119‚Ä†Untitled„Äë.",,,,1882,
HID0165,MD1876,,,,No explicit 1883 detail in extract; left blank.,,,,1883,
HID0166,MD1876,,,,1883 details not fully shown in extract; likely continued famine-related admissions.,,,,1883,
HID0167,MD1876,,,,1883 narrative not fully shown; capacity issues continued.,,,,1883,
HID0168,MD1876,,,,No explicit 1883 detail visible in extract.,,,,1883,
HID0169,MD1876,,,,No explicit 1883 detail visible in extract.,,,,1883,
HID0170,MD1876,,,,Avg. registered women 1884: 81.36 (vs 87.66 in 1883). Inspection ratio 346.85 (vs 452.88). Slight decline in numbers and inspections„Äê128:0‚Ä†Madras 1-merged copy.pdf‚Ä†L63-L75„Äë.,,,,1884,
HID0171,MD1876,,,,Avg. registered women 1884: 81.07 (vs 79.19). Inspection ratio 452.07 (vs 455.10). Stable operations„Äê128:0‚Ä†Madras 1-merged copy.pdf‚Ä†L63-L75„Äë.,,,,1884,
HID0172,MD1876,,,,"Avg. registered women 1884: 42.40 (vs 34.60). Inspection ratio 568.86 (vs 611.27). Numbers rose, inspections slightly down„Äê128:0‚Ä†Madras 1-merged copy.pdf‚Ä†L63-L75„Äë.",,,,1884,
HID0173,MD1876,,,,Avg. registered women 1884: 51.71 (vs 49.09). Inspection ratio 804.48 (vs 834.79). Stable with minor improvements„Äê128:0‚Ä†Madras 1-merged copy.pdf‚Ä†L63-L75„Äë.,,,,1884,
HID0174,MD1876,,,,Avg. registered women 1884: 39.99 (vs 44.79). Inspection ratio 911.97 (vs 919.84). Slight decline„Äê128:0‚Ä†Madras 1-merged copy.pdf‚Ä†L63-L75„Äë.,,,,1884,
HID0175,MD1876,,,,"Avg. registered women 1884: 355.00 (vs 339.58). Inspection ratio 834.92 (vs 879.52). Largest hospital, numbers up but inspections slightly weaker„Äê128:0‚Ä†Madras 1-merged copy.pdf‚Ä†L63-L75„Äë.",,,,1884,
HID0176,MD1876,,,,Avg. registered women 1884: 32.26 (vs 31.72). Inspection ratio 524.79 (vs 555.48). Stable but inspections slightly declined„Äê128:0‚Ä†Madras 1-merged copy.pdf‚Ä†L63-L75„Äë.,,,,1884,
HID0177,MD1876,,,,,,,,,
HID0178,MD1876,,,,,,,,,
HID0179,MD1876,,,,,,,,,
HID0180,MD1876,,,,,,,,,
HID0181,MD1876,,,,,,,,,
HID0182,MD1876,,,,Avg. registered women: 73.50 (down from 81.36 in 1884); inspection ratio 328.29 (vs 346.85).„Äê136:4‚Ä†Madras 1-merged copy.pdf‚Ä†L14-L24„Äë,,,,1884,
HID0183,MD1876,,,,Avg. registered women: 18.37 (sharp decline from 81.07 in 1884); inspection ratio 406.64 (vs 452.07). Hospital only open part of year„Äê136:4‚Ä†Madras 1-merged copy.pdf‚Ä†L15-L25„Äë„Äê136:1‚Ä†Madras 1-merged copy.pdf‚Ä†L64-L67„Äë,,,,1884,
HID0184,MD1876,,,,Avg. registered women: 9.00 (down from 42.40 in 1884); inspection ratio 612.22 (vs 568.86). Hospital only open first quarter„Äê136:4‚Ä†Madras 1-merged copy.pdf‚Ä†L16-L26„Äë„Äê136:1‚Ä†Madras 1-merged copy.pdf‚Ä†L64-L67„Äë,,,,1884,
HID0185,MD1876,,,,Avg. registered women: 57.15 (up from 51.71); inspection ratio 735.95 (vs 804.48).„Äê136:4‚Ä†Madras 1-merged copy.pdf‚Ä†L17-L27„Äë,,,,,
HID0186,MD1876,,,,Avg. registered women: 31.34 (down from 39.99); inspection ratio 870.45 (vs 911.97).„Äê136:4‚Ä†Madras 1-merged copy.pdf‚Ä†L18-L28„Äë,,,,,
HID0187,MD1876,,,,Avg. registered women: 303.48 (down from 355.00); inspection ratio 873.00 (vs 834.92).„Äê136:4‚Ä†Madras 1-merged copy.pdf‚Ä†L19-L29„Äë,,,,,
HID0188,MD1876,,,,Avg. registered women: 31.85 (similar to 32.26 in 1884); inspection ratio 530.61 (vs 524.79).„Äê136:4‚Ä†Madras 1-merged copy.pdf‚Ä†L20-L30„Äë,,,,1884,
HID0189,MD1876,,,,Newly listed; avg. registered women 483.73; inspection ratio not in main table. Appears in troop admissions list„Äê136:1‚Ä†Madras 1-merged copy.pdf‚Ä†L5-L16„Äë,,,,,
HID0190,MD1876,,,,,,,,,
HID0191,MD1876,,,,,,,,,
HID0192,MD1876,,,,,,,,,
HID0193,MD1876,,,,,,,,,
HID0194,MD1876,,,,,,,,,
HID0195,MD1876,,,,Avg. registered women 1886: 333 (vs 409 in 1885); inspections weekly but attendance irregular; ratio 295.96 per mille (vs 328.29)„Äê144:0‚Ä†Madras 1-merged copy.pdf‚Ä†L3-L14„Äë„Äê144:1‚Ä†Madras 1-merged copy.pdf‚Ä†L41-L42„Äë.,,,,1886,
HID0196,MD1876,,,,"Avg. registered women 1886: 359 (vs 66 in 1885, hospital reopened Mar 13 1886); inspections weekly; ratio 254.86 per mille (vs 406.64)„Äê144:0‚Ä†Madras 1-merged copy.pdf‚Ä†L4-L15„Äë„Äê144:1‚Ä†Madras 1-merged copy.pdf‚Ä†L19-L23„Äë.",,,,1886,
HID0197,MD1876,,,,Avg. registered women 1886: 263 (vs 426 in 1885); ratio 699.21 per mille (vs 483.73)„Äê144:0‚Ä†Madras 1-merged copy.pdf‚Ä†L5-L16„Äë.,,,,1886,
HID0198,MD1876,,,,"Avg. registered women 1886: 80 (vs 65 in 1885, reopened Jul 15 1886); ratio 678.52 per mille (vs 612.22)„Äê144:0‚Ä†Madras 1-merged copy.pdf‚Ä†L6-L17„Äë.",,,,1886,
HID0199,MD1876,,,,Avg. registered women 1886: 35 (vs 26 in 1885); ratio 809.85 per mille (vs 735.95)„Äê144:0‚Ä†Madras 1-merged copy.pdf‚Ä†L7-L18„Äë.,,,,1886,
HID0200,MD1876,,,,Avg. registered women 1886: 139 (vs 67 in 1885); ratio 990.03 per mille (vs 870.45)„Äê144:0‚Ä†Madras 1-merged copy.pdf‚Ä†L8-L19„Äë.,,,,1886,
